Title,Link,Views,Channel
제니 띵띵땅땅 Jennie ting ting tang tang (SEE TÌNH),,조회수 1.3만회,
더 아이돌 드라마속의 제니,,조회수 213만회,
디아이돌 3화. 제니 또 다시 밀착댄스,,조회수 103만회,
,,,
,,,
"블랙핑크 제니, 천재급 라면 먹방 화제!",https://www.youtube.com/shorts/QvhGgkIdmQg,조회수 6.9만회,
젠득이의 시골 일상♡ 미추리 시즌1 제니 액기스 모음!! (1~6회 분량 Full 압축) 《어덕행덕 / 미추리 8-1000 / 스브스캐치》,https://www.youtube.com/watch?v=YDWvxh0vSyY&pp=ygUG7KCc64uI,조회수 2074만회,
디아이돌 제니 영어대사 ㄷㄷ jennie the idol,,조회수 94만회,
"백호 제니 vs 수묵화 제니, 한국적인 제니의 무대의상들 #shorts",,조회수 6.6천회,
제니 디아이돌 댄스씬 Jennie the idol ep3,,조회수 43만회,
,,,
,,,
,,,
Met Gala vlog,https://www.youtube.com/watch?v=67BcmY40gfA&pp=ygUG7KCc64uI,조회수 194만회,
"구경만하려다가 한도초과된 쇼핑,,,VLOG 고딩제니의 핫플 신난 모음.zip",https://www.youtube.com/watch?v=J8mHt51-9CA&pp=ygUG7KCc64uI,조회수 2.2만회,
칸 브이로그,https://www.youtube.com/watch?v=qxEpdgYHIe4&pp=ygUG7KCc64uI,조회수 79만회,
디아이돌 3화. 제니 또 다시 밀착댄스,https://www.youtube.com/shorts/R9mv4hk6saE,조회수 103만회,
블랙핑크(BLACKPINK) 입국 (로제 벌칙 구경하는 제니 지수) | SGBAC Airport Arrival,https://www.youtube.com/watch?v=oigVMLpbgro&pp=ygUG7KCc64uI,조회수 1.6천회,
블랙핑크(BLACKPINK) 입국 (로제 벌칙 구경하는 제니 지수) | SGBAC Airport Arrival,https://www.youtube.com/watch?v=oigVMLpbgro&pp=ygUG7KCc64uI,조회수 1.6천회,
"블랙핑크(BLACKPINK), '지수·로제·제니' 7주년 깜짝 벌칙은 '챙' (입국)✈️SGBAC Airport Arrival 2023.7.31 #Newsen",https://www.youtube.com/watch?v=aRJe7zX7hMM&pp=ygUG7KCc64uI,조회수 9.9천회,
"카드 값 30만원도 못 내... 주방 알바 계획중이라는 전 위너 멤버, 가수 남태현의 마약 중독 심경 최초 고백 | 추적60분 KBS 230714 방송",https://www.youtube.com/watch?v=ABiNEQ1PDdI&pp=ygUG7KCc64uI,조회수 70만회,
제니가 샤넬 대신 000을 선택한 이유?✔️요즘 완.전.뜨.는 신명품 BEST 6🔥,https://www.youtube.com/watch?v=9dPBlPrbUek&pp=ygUG7KCc64uI,조회수 6.4만회,
제니가 자란 환경,https://www.youtube.com/shorts/5DJdfyGDow4,조회수 3.6만회,
Coachella vlog,https://www.youtube.com/watch?v=VX6X3HdO__M&pp=ygUG7KCc64uI,조회수 550만회,
태생부터 금수저였던 제니와 엄마의 일상 #shorts,https://www.youtube.com/shorts/NHxNrdROLhc,조회수 2.7만회,
Peaceful life in Paris France 평화로운 파리일상,https://www.youtube.com/shorts/JahWHKlSD70,조회수 198회,
제니가 할머니팬을 보고 어쩔줄 몰랐던 이유,https://www.youtube.com/shorts/6tpmghbWEFQ,조회수 123만회,
230702 BLACKPINK JENNIE 제니 직캠 - You and ME + SOLO @BST Hyde Park,https://www.youtube.com/watch?v=Ec2TGDO13QY&pp=ygUG7KCc64uI,조회수 25만회,
강형욱한테 자랑 다 뺏기고 칸으로 간 블랙핑크 제니. [강형욱의개스트쇼] EP.13,https://www.youtube.com/watch?v=qglffq44cbc&pp=ygUG7KCc64uI,조회수 716만회,
[블랙핑크] 땀이 많은 지수를 만지고 기겁한 제니 ㅋㅋㅋ,https://www.youtube.com/shorts/ZoGkzguxgH8,조회수 19만회,
제니 칸 브이로그 속 착용 드레스들👗 #shorts,https://www.youtube.com/shorts/NBgFChxfyuE,조회수 8.1만회,
캘빈클라인 브이로그 제니,https://www.youtube.com/watch?v=I9u1oYXggz4&pp=ygUG7KCc64uI,조회수 196만회,
[4K] 221016 블랙핑크 콘서트 You And Me 제니 직캠 You and ME Jennie fancam @BORN PINK in Seoul,https://www.youtube.com/watch?v=dAZK900jkHM&pp=ygUG7KCc64uI,조회수 1만회,
[4K] 230702 You And Me + SOLO 블랙핑크 제니 직캠 BLACKPINK Jennie fancam @BST Hyde Park,https://www.youtube.com/watch?v=z-C1g5Vn574&pp=ygUG7KCc64uI,조회수 10만회,
JENNIE - 'SOLO' M/V,https://www.youtube.com/watch?v=b73BI9eUkjM&pp=ygUG7KCc64uI,조회수 9.4억회,
230702 BLACKPINK JENNIE 제니 직캠 - Pink Venom @BST Hyde Park,https://www.youtube.com/watch?v=qzR_IxMSxf8&pp=ygUG7KCc64uI,조회수 8.8만회,
